Absent Minded|Bouncy Bullets,The Membrane|The Membrane's shots bounce 4 times and become homing.
Added Effect - Fire|Hot Lead,Alpha Bullet|The first shot of each magazine is guaranteed to be a fire bullet.
Added Effect - Ice|Frost Bullets,Alpha Bullet|The first shot of each magazine is guaranteed to be an ice bullet.
Added Effect - Poison|Irradiated Lead,Alpha Bullet|The first shot of each magazine is guaranteed to be a poison bullet.
Akey Breaky|Shelleton Key,AKEY-47|AKEY-47 receives a damage boost (10 damage per bullet), infinite ammo, and changes in appearance to resemble a Shelleton and can no longer open locks by shooting at them.
AI Assistant|Roll Bomb,IBomb Companion App|Roll bombs will bounce around instead of detonating immediately, and can be manually detonated with iBomb Companion App.
Air Support|Explosive Rounds,Air Strike|Air Strike covers a massive area.
AK-47 (Island Forme)|AK-47,Orange|Pressing reload with a full magazine toggles Island Forme. Island Forme AK-47 fires oranges, which deal more damage than regular AK-47 shots. Each orange does 7 damage per shot, as opposed to the usual 5.5.
Alas, Sniperion|Crown of Guns,Crescent Crossbow|Crown of Guns transforms into a tiara that fires higher-damage crescent-shaped bullets.
Alistair's Ladder|Thunderclap,Shock Rounds|Thunderclap shoots 2 bullets instead of one.
Ancient Aliens|Zorgun,Alien Engine|Gives Zorgun 3 Final Shots, and gives Alien Engine occasional Zorgun bullets.
Anti-Aircraft|RPG,Flak Bullets|RPG spawns 7 homing flak bullets upon impact.
Antichamber|Antibody,Dark Marker|Dark Marker alternates between firing red and blue shots that become very slow and large after traveling a short distance. If any red and blue shots touch, the blank effect is activated.
Apiary|Bee Hive,Box|Bee Hive turns into an apiary and automatically regenerates ammo over time.
Assault and Battery|Magnum,Shock Rifle|The guns are dual-wielded.
Armored Corps|Void Core Assault Rifle,AC-15|Both guns gain increased shot speed and deal 25% more damage.
Bacon and Eggs|The Scrambler,Pig|Increases the speed of The Scrambler's eggs by 50%.
Banshee Cry|Screecher,Dueling Laser|Screecher fires a cone of three waves per shot.
Barrage Shot|Charge Shot,Jetpack|Decreases the charge time of Charge Shot by 25%, increases reload time by 50%, and increases shot size.
Bee Plus|Honeycomb,Jar of Bees|Taking damage causes Honeycomb to spawn hornets, which travel faster and deal more damage than regular bees.
