360 Yes Scope|Scope|A.W.P.,Sniper Rifle|Spinning 360 degrees provides a 3-second buff that gives the next shot a 1.5x damage multiplier. The buff stacks if the player spins multiple times.
All Out Of Law|Colt 1851|Escape Rope,Heart Holster,Table Tech Sight,Hip Holster|Colt 1851 fires three tight spreads of three free bullets upon reloading. These projectiles ignore tables when fired from behind them.
Alternative Rock|Face Melter|Ruby Bracelet,Drum Clip,Gilded Bullets,Platinum Bullets,Melted Rock,Heavy Bullets|Face Melter fires two parallel columns of notes, shoots a guitar pick with a chance to stun upon reloading, and changes appearance to that of a Dean Z Blue Burst guitar.
Arctic Warfare|A.W.P.|Snowballets,Frost Ammolet,Frost Bullets,Heart of Ice|A.W.P.'s color changes to orange and white, its shots freeze enemies, and it deals 62.5% more damage.
Backdraft|Armor of Thorns|Copper Ammolet,Ring of Fire Resistance,Ruby Bracelet|Touching enemies sets them on fire.
Battery Powered|Shock Rifle|R2G2,Shock Rounds|Shock Rifle slowly regenerates ammo over time.
Battle Mode|Orbital Bullets|Bomb,Ice Bomb|Bombs periodically spawn and orbit the player, exploding and dealing 40 damage upon touching an enemy.
BEES|Bee Hive|Honeycomb,Bumbullets|Doubles the size of Bee Hive's bees and increases their damage by 25%, but decreases Bee Hive's rate of fire by 34%.
Black Flag|Corsair|Serious Cannon,Grappling Hook|Corsair gains a black flag, and every Corsair shot will periodically fire two bouncing cannonballs perpendicular to itself as it travels.
blade|Kruller Glaive|Ring of Chest Vampirism,Blood Brooch|Kruller Glaive's damage is increased by 20%, enemies hit will visually bleed, and jammed enemies will revert to normal on hit.
Bluer Guon Stone|Blue Guon Stone|+1 Bullets,Bullet Time,Amulet of the Pit Lord|Blue Guon Stone's size and rotation speed is increased. If Blue Guon Stone blocks a bullet, it deals 15 damage to all nearby enemies.
Brave New World|Siren|Trident,Bionic Leg|While Siren is held, spawns a fish companion which shows what items are inside chests without opening them.
Bullet Kiln|Elder Blank|The Kiln,Luxin Cannon|Using Elder Blank while having The Kiln or Luxin Cannon selected gives one Glass Guon Stone to the player, up to a maximum of four. This limit can be worked around by dropping excess glass guon stones on the floor before using the Elder Blank, and then collecting them again.
Cactus Flower|Cactus|Orange,Broccoli|Cactus has a chance to shoot out a prickly pear that bounces off walls and shoots needles all around.
Careful Iteration|Casey|Shotgun Full of Hate,Nail Gun,Armor of Thorns,Eyepatch|Casey becomes spiked and fires a spread of 6 nails each time it is swung.
Cast Iron|Big Iron|Bundle of Wands,Witch Pistol,Hexagun|Gives Big Iron transmogrification effects and replaces each bullet with one from Bundle of Wands, Witch Pistol, and Hexagun.
Cerebral Bros|Bullet Bore|Charmed Bow,Bow,Cluster Mine,Explosive Rounds|Bullet Bore fires 2 drills per shot instead of the usual 1.
Chicken Arise|Magic Bullets|Bundle of Wands,Hexagun,Witch Pistol,Staff of Firepower|Increases the chance for the guns to transmogrify enemies.
Chief Master|Alien Sidearm|Master Round|Alien Sidearm has a much larger magazine and cannot be charged, but becomes fully automatic and the final two shots in the magazine are fully-charged shots.
Clearer Guon Stone|Clear Guon Stone|+1 Bullets,Amulet of the Pit Lord,Bottle|Grants immunity to poison, fire, and electricity. Shooting enemies while standing on fire or ice will burn or freeze them, respectively.
Contrail|Alien Engine|Mutation,Shotgrub|Alien Engine's sprite changes and the flame turns green, igniting enemies with green fire. Alien Engine also grants flight while held.
Dawn of the Gundead|Zombie Bullets|Fossilized Gun,VertebraeK-47,Shellegun,Skull Spitter,Gunslinger&#39;s Ashes|Doubles the chance for Zombie Bullets to refund missed shots for the guns.
Decoy Octorok|Abyssal Tentacle|Explosive Decoy,Decoy|The decoy will turn into a charmed enemy.
Diazepam|Muscle Relaxant|M1,Sniper Rifle,Hegemony Rifle,Bow,Laser Rifle,A.W.P.,Hexagun,Winchester Rifle|Increases the damage of the guns by 50%.
Don't Worry About The Vase|The Kiln|Lodestone Ammolet,Chaos Ammolet,Gold Ammolet,Uranium Ammolet,Copper Ammolet,Frost Ammolet|Destroying small breakable objects (vases, barrels, etc.) has a small chance to activate a blank effect.
The Ecstasy Of Gold|Gilded Bullets|Old Goldie,Gilded Hydra|Increases the damage of both guns by 25%.
Electron Pack|Proton Backpack|Zombie Bullets,Ghost Bullets|Kills with Proton Backpack spawn allied ghosts that attack enemies.
Finger on the Pulse|Pulse Cannon|Heart Lunchbox,Heart Locket,Heart Purse,Heart Bottle,Heart Holster|Upon taking damage, spawns 3 Pulse Cannons that attack enemies.
Fear the Old Blood|Trick Gun|Blood Brooch,Bloody Eye,Rolling Eye|Decreases the reload time of Trick Gun by 33% and increases fire rate by 20%.
Firing With Flair|Flare Gun|Master of Unlocking,Amulet of the Pit Lord,Springheel Boots,Copper Ammolet|Flare Gun sets green fire, which leaves enemies permanently burning.
Five O'Clock Somewhere|Crestfaller|Double Vision,Potion of Lead Skin,Shotga Cola,Shotgun Coffee,Old Knight&#39;s Flask,Potion of Gun Friendship|Reloading will fire a glass bottle that will stun enemies it hits. Reloading while standing on a liquid replenishes the ammo missing in the current magazine, similar to Gungine.
Future Gangster|Thompson Sub-Machinegun|Laser Sight,Bionic Leg,Shock Rounds,Nanomachines|Thompson Sub-Machinegun fires lasers. Each laser does 6.5 damage instead of the normal 5 damage.
Get Equipped With -B-|Megahand|Bubble Blaster,Mega Douser|Enables Bubble Lead mode which fires Bubble Blaster bubbles when uncharged. Modes can be switched by reloading Megahand with a full magazine.
Get Equipped with -F-|Megahand|Aged Bell,Camera|Enables Time Stopper mode, which fires a flash that stops time for a second and deals damage to all enemies on screen when fully charged. Modes can be switched by reloading Megahand with a full magazine.
Ghost With The Most|Gunslinger&#39;s Ashes|Ring of Ethereal Form,Ghost Bullets|Ghosts from Gunslinger's Ashes are larger and can freeze enemies. Reload time decreased by 20%.
Great Queen Ant|Gungeon Ant|Heck Blaster,Crown of Guns,Coin Crown,Gilded Bullets,Ring of Fire Resistance|Gungeon Ant becomes an ant queen and shoots rocket ants.
Greener Guon Stone|Green Guon Stone|Pea Shooter,+1 Bullets,Amulet of the Pit Lord|Chance for the Green Guon Stone to heal upon taking damage is raised to 70% if that damage would have killed the player. 20  also appears whenever Green Guon Stone heals the player.
Hardwood|Mahoguny|Broccoli,Decoy,Explosive Decoy,Heavy Boots|Mahoguny fires four explosive shots at a time.
Heavy Metal|Anvillain|Heavy Boots,Heavy Bullets|Decreases Anvillain's shot speed by 25% and increases damage by 20%.
Hegemony Special Forces|Hegemony Rifle|Ammo Belt,Drum Clip,Galactic Medal of Valor|Hegemony Rifle bullets are replaced by piercing lasers.
Hellhole|Singularity|Yellow Chamber,Holey Grail,Sixth Chamber|Singularity spawns a hell portal that sucks enemies in and deals high damage.
Hell Singing|Silver Bullets|Trick Gun,Dueling Pistol,Blunderbuss|Increases the damage of the guns against jammed enemies by 50%.This bonus stacks with the damage from Silver Bullets, for a total of 487.5% damage to jammed enemies.
Hidden Tech Bees|Table Tech Blanks|Bumbullets,Bee Hive,Jar of Bees|A swarm of bees replaces enemy bullets when a table is flipped.
Hidden Tech Time|Table Tech Sight|Liquid Valkyrie,Bloody Eye|Flipping a table briefly stops time.
I need scissors! 61!|Trank Gun|Ancient Hero&#39;s Bandana,Box,Cigarettes,Wolf,Ration|Trank Gun's fire rate is decreased, damage and reload time are increased, and its bullets will inflict slow and stun.
Ice Accumulation|Snowballets|Cold 45,Ice Breaker|Significantly increases the size of the gun's shots, and increases the amount of damage they gain from Snowballets.
Ice Cap|Freeze Ray|Camera,Flash Ray|Freeze Ray freezes enemies much quicker.
Ice To Meet You|Heart of Ice|Frost Bullets,Ice Cube|Firing with any gun will periodically fire a Heart of Ice projectile that splits and bounces.
Iron Slug|Big Iron|Fat Bullets,Stout Bullets,Heavy Boots,Heavy Bullets,Scope|Big Iron fires a single high-damage slug.
Iron Stance|Heavy Boots|Blooper,Tangler,Regular Shotgun,Huntsman,Pulse Cannon,Void Shotgun,Blunderbuss,Zilla Shotgun,Elephant Gun,Siren,Old Goldie|Increases damage and knockback by 20%, increases shot speed by 50%, and decreases reload time by 20%.
Iroquois|MAC10|Eyepatch,Cigarettes,Rolling Eye|Decreases the reload time of MAC10 by 33%, increases its magazine size by 50%, and increases its knockback by 50%.
Just Like The Real Thing|Shotgrub|Bullet Idol,Sixth Chamber,Yellow Chamber,Holey Grail|Shotgrub fires a wide spread of five bullets, which bounce back and split into waving bullets after hitting a wall, similar to the Shotgrub enemy's attack.
Kaliber k'pow uboom k'bhang|High Kaliber|Cursed Bullets,Holey Grail,Yellow Chamber|The split soul initially moves towards the player instead of away.
Kaliber's Grip|Abyssal Tentacle|Holey Grail,Chaos Bullets,Yellow Chamber|Abyssal Tentacle grabs two enemies at a time.
Kalibreath|Dragunfire|Holey Grail,Yellow Chamber|Dragunfire turns grey and has an increased rate of fire.
King Bomber|Lil&#39; Bomber|Crown of Guns,Gilded Bullets,Coin Crown|Lil' Bomber's bombs become gold and spawn  every time they hit an enemy.
Klobbering Time|Klobbe|AU Gun,Moonscraper|Klobbe is doubled.
The Line Of Fire|Composite Gun|Full Metal Jacket,Pig,Sunglasses|Composite Gun shots leave a trail of fire.
Lotus Bloom|Laser Lotus|Rolling Eye,Shock Rounds|Laser Lotus gains the appearance of a flower. Its magazine size increases to 32, its maximum ammo increases to 250, its fire rate greatly increases, and it deals half damage.
M1 Multi-Tool|M1|Scope,Ammo Belt,Backpack,Utility Belt,Drum Clip|Decreases M1's reload time by 20% and increases its magazine size, and maximum ammo. Increases movement speed. Changes appearance to resemble an M14.
Mak Pak|Makarov|Backpack,Bottle|Increases Makarov's maximum ammo by 30%. While holding Makarov, it occasionally fires a homing bullet at an enemy for free.
Massive Effect|Mass Shotgun|Stout Bullets,Fat Bullets,Heavy Bullets|Significantly increases the size of Mass Shotgun's shots.
Master's Chambers|Chamber Gun|Master Round|Each Master Round the player carries permanently unlocks the mode of its respective floor for Chamber Gun. Reloading the gun with a full magazine cycles through the unlocked modes.
Maximize Spell|Flame Hand|Chance Bullets,Gungeon Pepper|Flame Hand becomes green and creates pools of green fire. Green fire does not damage the player, and enemies that touch green fire are permanently aflame.
Max Pane|Glass Cannon|Glass Guon Stone|If hit, Glass Guon Stone breaks, but Glass Cannon retains its ammo.
Nailed It!|Nail Gun|+1 Bullets,Sunglasses,H4mmer,Heavy Bullets,Cobalt Hammer,Blast Helmet|Nails deal triple damage.
Natural Selection|Evolver|Monster Blood,Irradiated Lead,Big Boy|Evolver evolves after every 3 unique enemy types killed instead of 5.
Needless Acrimony|Shotgun Full of Hate|Table Tech Rage,Angry Bullets|Rage duration is greatly increased if a table is flipped while Shotgun Full of Hate is held.
Neo Tech, Yo|Mutation|Bionic Leg,Shock Rounds|Mutation's beam turns blue and creates electrified water. The player is immune to electricity while Mutation is held.
Not Quite As Mini|Vulcan Cannon|Ammo Belt,Drum Clip,Oiled Cylinder|Increases Vulcan Cannon's maximum ammo by 25% and significantly increases fire rate.
Not So Sawed-Off|Buzzkill|Winchester,Rattler,Regular Shotgun|Buzzkill's saw blades are linked by lightning.
Noxin Cannon|Luxin Cannon|Cursed Bullets,Shadow Bullets|Luxin Cannon and its shots turn grey, and the lasers deal 25% more damage.
Oranger Guon Stone|Orange Guon Stone|+1 Bullets,Amulet of the Pit Lord,Orange|Orange Guon Stone grows in size, fires more frequently, and deals more damage.
Paperwork|Origuni|Ballot,Table Tech Sight,Table Tech Blanks,Table Tech Stun,Table Tech Money,Table Tech Rocket,Table Tech Rage|The first shot after reloading Origuni fires three planes.
Pandemic Pistol|Plague Pistol|Monster Blood,Irradiated Lead,Gundromeda Strain|Plague Pistol bullets bounce and are connected with electricity.
Particle Flow|Laser Sight|Zorgun,Stinger,Laser Lotus,RPG|The guns home in on enemies.
Pea Cannon|Pea Shooter|Broccoli,Wood Beam,Crutch,Mahoguny,Old Knight&#39;s Helm,Starpew,Cactus,Old Knight&#39;s Shield|Pea Shooter shots become larger, deal more damage, and explode.
Peripheral Vision|Light Gun|Wax Wings,Laser Sight|Upon hitting an enemy 3 times with Light Gun, a dog appears and attacks that enemy.
Phoenix Up|Phoenix|Gungeon Pepper,The Scrambler,Unfinished Gun,Napalm Strike,Copper Ammolet,Hot Lead,Weird Egg,Flame Hand|
Pinker Guon Stone|Pink Guon Stone|+1 Bullets,Amulet of the Pit Lord,Charmed Bow|Enemies that damage the player become temporarily charmed.
Pistol Machine|Machine Pistol|Nanomachines,Bionic Leg,Fortune&#39;s Favor,Shock Rounds,+1 Bullets,Laser Sight|Machine Pistol shots gain the effect of Angry Bullets and are connected with electricity.
Pitch Perfect|Pitchfork|Yellow Chamber,Sixth Chamber,Holey Grail|Pitchfork fires green fireballs, setting enemies permanently aflame.
Pretty Good|SAA|Box,Fortune&#39;s Favor,Ration,Nanomachines,Hip Holster|Increases coolness by 2.
Production Model|Prototype Railgun|Nanomachines,Teleporter Prototype|Prototype Railgun shots bounce up to 5 times.
Redder Guon Stone|Red Guon Stone|+1 Bullets,Amulet of the Pit Lord,Ring of Fire Resistance|Red Guon Stone's size is increased. Player will gain a yellow glow and stat increase similar to that of Macho Brace for a short time whenever Red Guon Stone blocks a bullet.
Reload Roll|Easy Reload Bullets|Magnum,M1911,Dungeon Eagle,38 Special,Colt 1851,Makarov,SAA|Rolling reloads six bullets. Dodge roll distance is increased by 20% when the gun held.
Relodestar|Relodestone|Lodestone Ammolet,Copper Ammolet,Chaos Ammolet,Gold Ammolet,Frost Ammolet,Uranium Ammolet|After Relodestone's effect ends, the bullets that were absorbed are shot out of the player dealing damage to enemies.
Ruby Carbine|Hegemony Carbine|Mimic Tooth Necklace,Ruby Bracelet,Cog of Battle|Hegemony Carbine shots light enemies on fire and bounce.
Second Accident|Shotbow|Chest Teleporter,Teleporter Prototype|Shotbow fires 9 parallel arrows straight forward.
Shot Across The Bow|Gunbow|Rocket-Powered Bullets,Air Strike,IBomb Companion App,Explosive Rounds|Gunbow fires explosive missiles.
Shredder|Metronome|Gunzheng,Face Melter|Doubles the spread of the guns, decreasing their accuracy.
Smart Bombs|Ice Bomb,Bomb|Crutch,Homing Bullets|Bombs home in on enemies.
Sniper Woof|Wolf|A.W.P.,Bow,Hexagun,Sniper Rifle,M1|Reduces reload times of the guns by 30%. Standing still for a short time (around 1–2 seconds) causes the player to glow yellow, increasing the damage of the guns by 50%. This effect persists until the player switches weapons or moves. Sniper Shells and Professionals are permanently charmed.
Special Delivery|Owl|Hexagun,Witch Pistol,Staff of Firepower,Bundle of Wands|Makes the guns' shots bounce. Owl becomes skeletal in appearance and fires bouncing, letter-shaped bullets.
Special Reserve|Molotov Launcher|Double Vision,Hot Lead,Napalm Strike|Molotovs create green fire pools. Green fire does not damage the player, and enemies that touch green fire are permanently aflame.
Square Brace|Polaris|Bracket Key,Bionic Leg|Increases Polaris ammo capacity to 700, increases its magazine size to 30, increases damage by 20%, increases fire rate when leveled up, and changes its appearance.
Super Serum|Plague Pistol,Plunger|Gas Mask,Hazmat Suit|Increases the magazine size of the guns by 50%, increases the size of their projectiles, and allows them to bounce once.
Tea for Two|Teapot|Wolf,Ser Junkan,R2G2,Blank Companion&#39;s Ring,Baby Good Mimic,Badge,Baby Good Shelleton,Clown Mask,Chicken Flute,Pig,Turkey,Super Space Turtle|When reloading Teapot, a red aura appears around companions. Every enemy in this aura will be ignited.
The Elephant in the Room|Elephant Gun|Turkey,Chicken Flute,Super Space Turtle,Pig,Owl|Elephant Gun becomes an elephant head and shoots elephants instead of bullets.
The Return|Pig|Luxin Cannon,Pulse Cannon,Poxcannon,Science Cannon,Makeshift Cannon,Trashcannon,Vulcan Cannon,T-Shirt Cannon,Serious Cannon|Pig fires bats and gains a green appearance.
Thorn Bath, ooh!|Armor of Thorns|Derringer,Nail Gun,Cactus|While one of the guns is held, nails are periodically fired in all directions.
Tile Match|Tetrominator|Red Guon Stone,White Guon Stone,Blue Guon Stone,Green Guon Stone,Clear Guon Stone,Orange Guon Stone,Pink Guon Stone|When the player fires Tetrominator, each Guon Stone has a chance to shoot a Tetromino corresponding to the type of Guon Stone.
To Serve Android|Badge|The Judge,Full Metal Jacket,Mass Shotgun,Bionic Leg,Deck4rd,Grasschopper|Police Officer turns into a robot and becomes unkillable.
Unbelievably Charming|Shotgun Full of Love,Charmed Bow|Charming Rounds,Pink Guon Stone|While holding either the Charmed Bow or Shotgun Full of Love, all shots fired by the player (even shots fired via items other than either gun) and any companions are guaranteed to charm enemies. In addition, the player is followed by a fairy that blocks bullets and displays the contents of chests.
Vegetables|Broccoli|Cactus,Pea Shooter|Shots from the guns deal triple damage, are doubled in size, pierce enemies, and bounce off of obstacles.
Venom Veins|Mutation|Blood Brooch,Bloody 9mm,Bloodied Scarf,Bloody Eye,Monster Blood|Gives Mutation poison effect.
What A Thrill|Patriot|Ration,Ancient Hero&#39;s Bandana,Box,Fortune&#39;s Favor,Cigarettes|Patriot has a chance to transmogrify enemies into snakes.
Whiter Guon Stone|White Guon Stone|Flash Ray,Amulet of the Pit Lord,+1 Bullets|Increases the size of White Guon Stone. If the player has Daruma, its cooldown is halved.
Wicked Sister|Magnum|Lies,Briefcase of Cash|Magnum gains a bayonet that blocks bullets when reloading, similar to Huntsman.
Willing To Sacrifice|Freeze Ray|Ice Cube,Heart of Ice,Frost Bullets|Freeze Ray gains piercing and slowly regenerates ammo over time.
\o/|Sunlight Javelin|Gun Soul,Old Knight&#39;s Flask|When Sunlight Javelin kills an enemy, it will spawn a circular zone that ignites all enemies within it.
